"","platform","year_of_release","genre","publisher","global_sales","critic_score","rating","developer","name","na_sales","eu_sales","jp_sales","other_sales","critic_count","user_score","user_count"
"8466","PC",2005,"Strategy","Take-Two Interactive",0.16,94,"E10+","Firaxis Games","Sid Meier's Civilization IV",0.02,0.12,0,0.03,50,8.3,909
"8467","DS",2004,"Puzzle","Ignition Entertainment",0.16,74,"E","Buddiez, Inc.","Zoo Keeper",0.1,0.01,0.05,0.01,40,7.5,13
"8468","PSV",2013,"Role-Playing","Sega",0.16,NA,NA,NA,"Phantasy Star Online 2",0,0,0.16,0,NA,NA,NA
"8469","PS2",2001,"Racing","Atari",0.16,NA,NA,NA,"Vehicular Combat League presents Motor Mayhem",0.08,0.06,0,0.02,NA,NA,NA
"8470","Wii",2010,"Misc","UFO Interactive",0.16,NA,"E","UFO Interactive","Chuck E. Cheese's Party Games",0.15,0,0,0.01,NA,NA,NA
"8471","PSP",2005,"Racing","Sony Computer Entertainment",0.16,75,"T","Bigbig Studios","Pursuit Force",0.14,0.01,0,0.01,59,7.8,26
"8472","PS2",2002,"Role-Playing","Sony Computer Entertainment",0.16,NA,NA,NA,"PoPoLoCrois: Hajimari no Bouken",0,0,0.16,0,NA,NA,NA
"8473","PS2",2001,"Racing","LucasArts",0.16,71,"E","Lucas Learning","Star Wars: Super Bombad Racing",0.08,0.06,0,0.02,21,4.9,8
"8474","DS",2008,"Action","Activision",0.16,69,"E","Artificial Mind and Movement","TransFormers Animated: The Game",0.15,0,0,0.01,15,NA,NA
"8475","Wii",2008,"Puzzle","Popcorn Arcade",0.16,NA,NA,NA,"Hamster Heroes",0.16,0,0,0,NA,NA,NA
"8476","GBA",2002,"Racing","THQ",0.16,NA,NA,NA,"Hot Wheels Velocity X",0.12,0.04,0,0,NA,NA,NA
"8477","Wii",2011,"Racing","Ubisoft",0.16,64,"T","Ubisoft Reflections","Driver: San Francisco",0.06,0.09,0,0.02,7,6.2,10
"8478","PS",2000,"Shooter","Fox Interactive",0.16,61,"M","Argonaut Games","Alien Resurrection",0.09,0.06,0,0.01,12,7.5,15
"8479","PS2",2004,"Sports","Sony Computer Entertainment",0.16,68,"E","SCEE London Studio","World Tour Soccer 2005",0.08,0.06,0,0.02,28,9,6
"8480","DS",2007,"Simulation","Disney Interactive Studios",0.16,NA,"E","Amaze Entertainment, Walt Disney Japan","Disney Friends",0.12,0.03,0,0.01,NA,7.3,4
"8481","PS2",2003,"Sports","Sega",0.16,83,"E","Visual Concepts","ESPN College Hoops",0.08,0.06,0,0.02,14,8.5,8
"8482","PS3",2014,"Fighting","Sega",0.16,66,"T","Sega, French-Bread","Dengeki Bunko Fighting Climax",0.05,0,0.09,0.01,13,8.2,29
"8483","PS2",2000,"Racing","Electronic Arts",0.16,71,"E","EA Sports","F1 Championship Season 2000",0.06,0.05,0.03,0.02,11,NA,NA
"8484","X360",2009,"Adventure","Codemasters",0.16,25,"M","Team 17","Leisure Suit Larry: Box Office Bust",0.14,0.01,0,0.01,27,2.5,41
"8485","DS",2009,"Fighting","Konami Digital Entertainment",0.16,NA,NA,NA,"Pen 1 Grand Prix: Penguin no Mondai Special",0,0,0.16,0,NA,NA,NA
"8486","GC",2002,"Shooter","TDK Mediactive",0.16,74,"T","Vicious Cycle","Robotech: Battlecry",0.13,0.03,0,0,11,8.4,5
"8487","PS2",2002,"Platform","Infogrames",0.16,NA,NA,NA,"Zapper: One Wicked Cricket!",0.08,0.06,0,0.02,NA,NA,NA
"8488","PS",2000,"Misc","Hudson Soft",0.16,NA,NA,NA,"Bomberman Land",0,0,0.15,0.01,NA,NA,NA
"8489","X360",2010,"Action","Namco Bandai Games",0.16,42,"T","Game Republic","Clash of the Titans",0.08,0.06,0,0.02,31,4.1,17
"8490","PSP",2013,"Action","Konami Digital Entertainment",0.16,NA,"E","Konami","Pro Evolution Soccer 2014",0,0.02,0.14,0,NA,NA,NA
"8491","GBA",2006,"Simulation","THQ",0.16,NA,NA,NA,"Paws & Claws: Pet Resort",0.12,0.04,0,0,NA,NA,NA
"8492","PS2",2003,"Adventure","Atari",0.16,69,"T","Eden Studios","Kya: Dark Lineage",0.08,0.06,0,0.02,25,8.9,28
"8493","XOne",2016,"Platform","Electronic Arts",0.16,72,"T","EA DICE","Mirror's Edge Catalyst",0.09,0.06,0,0.01,46,4.4,266
"8494","GBA",2006,"Action","Namco Bandai Games",0.16,65,"E","Torus Games","Curious George",0.12,0.04,0,0,5,NA,NA
"8495","PC",2011,"Strategy",NA,0.16,47,"T","FireFly Studios","Stronghold 3",0.06,0.1,0,0,29,3,350
"8496","PS2",2003,"Simulation","Sammy Corporation",0.16,73,"T","Asmik Ace Entertainment, Inc","Lethal Skies II",0.08,0.06,0,0.02,26,NA,NA
"8497","3DS",2011,"Racing","Codemasters",0.16,59,"E","Codemasters","F1 2011",0.07,0.08,0,0.02,15,6.8,13
"8498","PS2",2006,"Adventure","Sega",0.16,NA,NA,NA,"Kamaitachi no Yoru × 3",0,0,0.16,0,NA,NA,NA
"8499","PSP",2006,"Fighting","Majesco Entertainment",0.16,77,"T","Arc System Works","Guilty Gear Judgment",0.13,0,0.02,0.01,17,6.6,8
"8500","GBA",2003,"Action","Ubisoft",0.16,NA,NA,NA,"Tom and Jerry: Infurnal Escape",0.12,0.04,0,0,NA,NA,NA
"8501","Wii",2008,"Sports","Electronic Arts",0.16,49,"E","EA Canada","NCAA Football 09 All-Play",0.15,0,0,0.01,5,5.8,32
"8502","PS3",NA,"Action","Namco Bandai Games",0.16,59,"M","Namco Bandai Games America, Namco Bandai Games","Splatterhouse",0.13,0.02,0,0.02,49,7.7,67
"8503","PSP",2010,"Role-Playing","Falcom Corporation",0.16,NA,NA,NA,"The Legend of Heroes VII: The Trail of Zero",0,0,0.16,0,NA,NA,NA
"8504","3DS",2011,"Adventure","Konami Digital Entertainment",0.16,53,"E10+","WinkySoft","Doctor Lautrec and the Forgotten Knights",0.07,0.05,0.03,0.01,19,6.1,8
"8505","PS",1995,"Role-Playing","Sony Computer Entertainment",0.16,NA,NA,NA,"King's Field",0.09,0.06,0,0.01,NA,NA,NA
"8506","GBA",2005,"Sports","DTP Entertainment",0.16,NA,NA,NA,"Let's Ride: Sunshine Stables",0.12,0.04,0,0,NA,NA,NA
"8507","PS",2000,"Sports","Namco Bandai Games",0.16,NA,NA,NA,"World Stadium 4",0,0,0.15,0.01,NA,NA,NA
"8508","DS",2006,"Action","Disney Interactive Studios",0.16,NA,"E","WayForward","Disney's American Dragon Jake Long: Attack of the Dark Dragon",0.15,0,0,0.01,NA,NA,NA
"8509","GC",2004,"Misc","Midway Games",0.16,74,"M","Backbone Entertainment","Midway Arcade Treasures 2",0.13,0.03,0,0,21,NA,NA
"8510","GC",2003,"Racing","THQ",0.16,59,"E","Climax Group","Hot Wheels World Race",0.13,0.03,0,0,5,7,5
"8511","DS",2007,"Strategy","Sega",0.16,NA,NA,NA,"San Goku Shi Taisen DS",0,0,0.16,0,NA,NA,NA
"8512","Wii",2007,"Racing","Activision",0.16,NA,"E","Activision","Monster Jam",0.15,0,0,0.01,NA,7.8,8
"8513","PS",1998,"Sports","Victor Interactive",0.16,NA,NA,NA,"Kawa no Nushi Tsuri",0,0,0.15,0.01,NA,NA,NA
"8514","Wii",2008,"Fighting","Konami Digital Entertainment",0.16,49,"T","Eighting","Castlevania Judgment",0.12,0.02,0.01,0.01,33,5.9,56
"8515","XB",2003,"Strategy","Atari",0.16,NA,NA,NA,"Magic: The Gathering - Battlegrounds",0.12,0.03,0,0.01,NA,NA,NA
"8516","PS",1998,"Racing","Gremlin Interactive Ltd",0.16,NA,NA,NA,"N2O: Nitrous Oxide",0.09,0.06,0,0.01,NA,NA,NA
"8517","PS2",2007,"Misc","Activision",0.16,NA,"E10+","Zoe Mode","Dancing With The Stars",0.08,0.06,0,0.02,NA,NA,NA
"8518","X360",2010,"Simulation","Activision",0.16,70,"T","Gaijin Entertainment","Apache: Air Assault",0.12,0.03,0,0.01,26,6.4,31
"8519","DS",2011,"Action","Sega",0.16,76,"T","Gearbox Software, WayForward","Aliens: Infestation",0.09,0.05,0,0.02,43,8.2,29
"8520","3DS",2015,"Simulation","Marvelous Entertainment",0.16,72,"E10+","Marvelous Inc.","Return to PopoloCrois: A Story of Seasons Fairytale",0.05,0,0.1,0.01,28,6.8,15
"8521","PS3",2012,"Action","Activision",0.16,66,"E","Rovio Mobile, Rovio Entertainment","Angry Birds Trilogy",0.12,0.02,0,0.03,8,3.7,20
"8522","SNES",1992,"Adventure","ChunSoft",0.16,NA,NA,NA,"Otogirisou",0,0,0.16,0,NA,NA,NA
"8523","3DS",2011,"Role-Playing","Namco Bandai Games",0.16,NA,NA,NA,"SD Gundam G Generation 3D",0,0,0.16,0,NA,NA,NA
"8524","GC",2005,"Racing","Vivendi Games",0.16,66,"E10+","Radical Entertainment","Crash Tag Team Racing",0.12,0.03,0,0,14,7.3,11
"8525","X360",2011,"Action","Ignition Entertainment",0.16,75,"T","Ignition Entertainment","El Shaddai: Ascension of the Metatron",0.07,0.05,0.03,0.01,44,7,47
"8526","PS3",2008,"Shooter","Activision Value",0.16,45,"E10+","FUN Labs","NPPL: Championship Paintball 2009",0.15,0,0,0.01,9,7.4,10
"8527","DS",2005,"Sports","Nintendo",0.16,66,"E","T&E Soft","True Swing Golf",0.11,0,0.04,0.01,32,7.7,11
"8528","XB",2005,"Shooter","Electronic Arts",0.16,83,"M","Free Radical Design","TimeSplitters: Future Perfect",0.12,0.03,0,0.01,54,8.9,35
"8529","PSP",2009,"Misc","Disney Interactive Studios",0.16,NA,NA,NA,"Hannah Montana: Rock Out the Show",0.13,0.01,0,0.02,NA,NA,NA
"8530","Wii",2008,"Simulation","Majesco Entertainment",0.16,61,"E","Torus Games","Zoo Hospital",0.14,0.01,0,0.01,4,NA,NA
"8531","Wii",2010,"Misc","Ubisoft",0.16,NA,"E10+","Ludia","Family Feud Decades",0.15,0,0,0.01,NA,NA,NA
"8532","PS2",2005,"Misc","Midway Games",0.16,67,"E","Digital Eclipse","Midway Arcade Treasures 3",0.08,0.06,0,0.02,23,NA,NA
"8533","Wii",2008,"Adventure","Scholastic Inc.",0.16,37,"E10+","SScholastic Media","Goosebumps HorrorLand",0.15,0,0,0.01,4,3.5,8
"8534","PS2",2002,"Platform","Midway Games",0.16,NA,NA,NA,"Dr. Muto",0.08,0.06,0,0.02,NA,NA,NA
"8535","X360",2007,"Strategy","LucasArts",0.16,73,"E10+","Frontier Developments","Thrillville: Off the Rails",0.13,0.02,0,0.01,24,2.8,34
"8536","DS",2005,"Misc","Nintendo",0.16,NA,NA,NA,"DS Rakubiki Jiten",0,0,0.16,0,NA,NA,NA
"8537","PS2",2005,"Adventure","Activision",0.16,NA,NA,NA,"SeaWorld Adventure Parks: Shamu's Deep Sea Adventure",0.08,0.06,0,0.02,NA,NA,NA
"8538","PS2",2003,"Action","Ubisoft",0.16,81,"M","Tecmo","Fatal Frame II: Crimson Butterfly",0.08,0.06,0,0.02,40,9.2,100
"8539","XOne",2014,"Action","Square Enix",0.16,51,"M","Airtight Games","Murdered: Soul Suspect",0.08,0.07,0,0.01,17,7,130
"8540","PS2",2002,"Adventure","Acclaim Entertainment",0.16,68,"M","Acclaim","Shadow Man: 2econd Coming",0.08,0.06,0,0.02,24,7.6,8
"8541","PSP",2011,"Strategy","Konami Digital Entertainment",0.16,NA,NA,NA,"Yu-Gi-Oh! 5D's Tag Force 6",0,0,0.16,0,NA,NA,NA
"8542","XB",2003,"Action","Tecmo Koei",0.16,75,"T","Omega Force","Dynasty Warriors 4",0.12,0.03,0,0.01,18,8.8,18
"8543","X360",2011,"Action","Ubisoft Annecy",0.16,71,"T","Omega Force","Warriors Orochi 3",0.09,0.03,0.03,0.01,9,8.1,19
"8544","PS2",2003,"Sports","Activision",0.16,83,"E","Shaba Games","Wakeboarding Unleashed Featuring Shaun Murray",0.08,0.06,0,0.02,23,9,12
"8545","GC",2005,"Action","THQ",0.16,67,"E10+","Heavy Iron Studios","The Incredibles: Rise of the Underminer",0.12,0.03,0,0,7,6.6,7
"8546","PS3",2007,"Action","Ubisoft",0.16,51,"M","Ubisoft","Beowulf: The Game",0.14,0.01,0,0.01,18,5.2,17
"8547","Wii",2007,"Platform","Konami Digital Entertainment",0.16,67,"E","Konami","Dewy's Adventure",0.14,0,0.01,0.01,29,6.3,15
"8548","SNES",1997,"Sports","Konami Digital Entertainment",0.16,NA,NA,NA,"Jikkyou Powerful Pro Yakyuu 3 '97 Haru",0,0,0.16,0,NA,NA,NA
"8549","PS",NA,"Adventure","Infogrames",0.16,77,"M","Darkworks","Alone in the Dark: The New Nightmare",0.09,0.06,0,0.01,15,8.1,40
"8550","PS3",2007,"Sports","Take-Two Interactive",0.16,77,"E","Blue Castle Games","The BIGS",0.15,0,0,0.01,19,7.2,12
"8551","PS3",2008,"Shooter","LucasArts",0.16,62,"T","Day 1 Studios","Fracture",0.11,0.04,0,0.02,40,5.8,18
"8552","GC",2006,"Platform","D3Publisher",0.16,47,"E","Monkey Bar Games","Flushed Away",0.12,0.03,0,0,4,NA,NA
"8553","Wii",2007,"Sports","Electronic Arts",0.16,52,"E","EA Canada","NBA Live 08",0.14,0,0,0.01,11,7.1,21
"8554","PS2",2005,"Role-Playing","Banpresto",0.16,NA,NA,NA,"Summon Night EX-Thesis: Yoake no Tsubasa",0,0,0.16,0,NA,NA,NA
"8555","PS3",2012,"Role-Playing","Compile Heart",0.16,55,"T","Idea Factory, Compile Heart","Hyperdimension Neptunia Victory",0.05,0.03,0.06,0.02,19,7.8,94
"8556","PS2",2006,"Sports","Konami Digital Entertainment",0.16,NA,NA,NA,"Pro Yaky? Spirits 3",0,0,0.16,0,NA,NA,NA
"8557","PS2",2002,"Shooter","Konami Digital Entertainment",0.16,61,"M","KCET","Silent Scope 3",0.08,0.06,0,0.02,12,NA,NA
"8558","GBA",2002,"Racing","Infogrames",0.16,52,"E","Crawfish Interactive","NASCAR Heat 2002",0.12,0.04,0,0,4,NA,NA
"8559","Wii",2009,"Puzzle","Konami Digital Entertainment",0.16,74,"E","Hudson Entertainment","Marble Saga: Kororinpa",0.09,0.05,0,0.01,16,7.3,6
"8560","PS2",2008,"Fighting","Namco Bandai Games",0.16,NA,"T","Namco Bandai Games America","Namco Classic Fighter Collection",0.08,0.06,0,0.02,NA,NA,NA
"8561","SNES",1995,"Sports","Konami Digital Entertainment",0.16,NA,NA,NA,"International Superstar Soccer Deluxe",0,0,0.16,0,NA,NA,NA
"8562","Wii",2011,"Misc","Electronic Arts",0.16,NA,"E","Electronic Arts","Family Game Night 4: The Game Show",0.12,0.03,0,0.01,NA,NA,NA
"8563","PS2",2003,"Misc","Play It",0.16,NA,NA,NA,"Intellivision Lives!",0.08,0.06,0,0.02,NA,NA,NA
"8564","GC",2005,"Action","Vivendi Games",0.16,56,"E","Eurocom Entertainment Software","Robots",0.12,0.03,0,0,4,NA,NA
"8565","PS3",2011,"Racing","Ubisoft",0.16,NA,NA,NA,"WRC 2: FIA World Rally Championship",0,0.12,0,0.04,NA,NA,NA
"8566","PS3",2009,"Fighting","Ignition Entertainment",0.16,57,"T","SNK Playmore","The King of Fighters XII",0.11,0.01,0.03,0.01,48,5.3,46
"8567","DS",2008,"Action","THQ",0.16,NA,"E","THQ","Tak: Mojo Mistake",0.15,0,0,0.01,NA,NA,NA
"8568","PS3",2016,"Action","Warner Bros. Interactive Entertainment",0.16,NA,"E10+","TT Games","Lego Star Wars: The Force Awakens",0.04,0.1,0,0.03,NA,NA,NA
"8569","PSP",2006,"Role-Playing","Take-Two Interactive",0.16,74,"T","SuperVillain Studios","Dungeon Siege: Throne of Agony",0.13,0.02,0,0.02,32,8.1,21
"8570","DS",2011,"Misc","THQ",0.16,59,"E","THQ","Rio",0.12,0.03,0,0.01,5,NA,NA
"8571","SNES",1991,"Simulation","Imagineer",0.16,NA,NA,NA,"SimEarth: The Living Planet",0,0,0.16,0,NA,NA,NA
"8572","DS",2006,"Action","THQ",0.16,66,"E","Altron","Finding Nemo: Escape to the Big Blue",0.12,0.03,0,0.01,5,NA,NA
"8573","PSP",2011,"Action","Capcom",0.16,NA,NA,NA,"Sengoku Basara: Chronicle Heroes",0,0,0.16,0,NA,NA,NA
"8574","X360",2011,"Misc","505 Games",0.16,NA,"T","505 Games","Grease Dance",0.11,0.03,0,0.01,NA,NA,NA
"8575","X360",2006,"Role-Playing","Namco Bandai Games",0.16,75,"T","Omiya Soft, Jamsworks","Culdcept SAGA",0.12,0,0.03,0.01,33,8.7,49
"8576","GBA",2001,"Action","THQ",0.16,NA,"E","Helixe","The Wild Thornberrys: Chimp Chase",0.11,0.04,0,0,NA,NA,NA
"8577","PS",1997,"Sports","Aques",0.16,NA,NA,NA,"Power Stakes",0,0,0.15,0.01,NA,NA,NA
"8578","X360",2006,"Misc","Activision",0.16,NA,NA,NA,"World Series of Poker: Tournament of Champions 2007 Edition",0.15,0,0,0.01,NA,NA,NA
"8579","N64",2000,"Fighting","Ubisoft",0.16,NA,NA,NA,"Tom and Jerry in Fists of Furry",0.13,0.03,0,0,NA,NA,NA
"8580","N64",2000,"Racing","Midway Games",0.16,NA,NA,NA,"Hydro Thunder",0.13,0.03,0,0,NA,NA,NA
"8581","N64",1999,"Racing","THQ",0.16,NA,NA,NA,"Destruction Derby 64",0.13,0.03,0,0,NA,NA,NA
"8582","N64",1999,"Shooter","Activision",0.16,NA,NA,NA,"Space Invaders",0.13,0.03,0,0,NA,NA,NA
"8583","N64",2000,"Strategy","Nintendo",0.16,NA,NA,NA,"Starcraft 64",0.13,0.03,0,0,NA,NA,NA
"8584","N64",1998,"Action","Ubisoft",0.16,NA,NA,NA,"Buck Bumble",0.13,0.03,0,0,NA,NA,NA
"8585","N64",1999,"Misc","Midway Games",0.16,NA,NA,NA,"California Speed",0.13,0.03,0,0,NA,NA,NA
"8586","N64",1996,"Simulation","Enix Corporation",0.16,NA,NA,NA,"Wonder Project J2: Koruro no Mori no Josette",0,0,0.12,0.04,NA,NA,NA
"8587","N64",1999,"Shooter","Crave Entertainment",0.16,NA,NA,NA,"Asteroids Hyper 64",0.13,0.03,0,0,NA,NA,NA
"8588","N64",2001,"Action","BAM! Entertainment",0.16,NA,NA,NA,"The Powerpuff Girls: Chemical X-Traction",0.13,0.03,0,0,NA,NA,NA
"8589","N64",1998,"Fighting","Ocean",0.16,NA,NA,NA,"Fighters Destiny",0.13,0.03,0,0,NA,NA,NA
"8590","N64",2001,"Sports","Konami Digital Entertainment",0.16,NA,NA,NA,"Jikkyou Powerful Pro Yakyuu Basic-han 2001",0,0,0.12,0.04,NA,NA,NA
"8591","PC",2014,"Racing","Ubisoft",0.16,71,"T","Ubisoft Reflections, Ivory Tower","The Crew",0,0.15,0,0.01,12,6.4,463
"8592","Wii",2009,"Sports","Atari",0.16,37,"T","10tacle Studios","Ready 2 Rumble Revolution",0.15,0,0,0.01,31,NA,NA
"8593","PS3",2010,"Action","Electronic Arts",0.16,61,"E","EA Bright Light","Create",0.11,0.03,0,0.02,23,5.2,5
"8594","DS",2006,"Misc","TDK Core",0.16,NA,NA,NA,"Minna no DS Seminar: Kanpeki Kanji Ryoku",0,0,0.16,0,NA,NA,NA
"8595","PSP",2008,"Simulation","Namco Bandai Games",0.16,NA,NA,NA,"Macross Ace Frontier",0,0,0.16,0,NA,NA,NA
"8596","PS2",2003,"Fighting","Vivendi Games",0.16,NA,NA,NA,"Black & Bruised",0.08,0.06,0,0.02,NA,NA,NA
"8597","DS",2006,"Action","Vivendi Games",0.16,63,"T","Amaze Entertainment","Eragon",0.13,0.02,0,0.01,17,7.6,13
"8598","PS3",2007,"Shooter","Vivendi Games",0.16,70,"M","Saber Interactive","TimeShift",0.14,0,0,0.01,16,6.3,27
"8599","PS2",2006,"Role-Playing","Namco Bandai Games",0.16,NA,NA,NA,".hack//G.U. Vol.2//Reminisce (jp sales)",0,0,0.16,0,NA,NA,NA
"8600","XB",2004,"Sports","Zoo Digital Publishing",0.16,59,"E","FUN Labs","Rapala Pro Fishing",0.12,0.03,0,0.01,7,NA,NA
"8601","DS",2005,"Action","Vivendi Games",0.16,50,"E","Amaze Entertainment","Spyro: Shadow Legacy",0.14,0.01,0,0.01,18,5.7,16
"8602","X360",2012,"Misc","Ubisoft",0.16,NA,"E","Disney Interactive Studios, Land Ho!","Just Dance: Disney Party",0.13,0.02,0,0.02,NA,NA,NA
"8603","PC",2012,"Simulation","Electronic Arts",0.16,73,"T","The Sims Studio","The Sims 3: Seasons",0,0.13,0,0.02,12,7.5,48
"8604","DS",2009,"Strategy","Majesco Entertainment",0.16,NA,"E","BudCat","Our House",0.15,0,0,0.01,NA,NA,NA
"8605","Wii",2010,"Action","Activision",0.16,NA,"E10+","Now Production","Bakugan Battle Brawlers: Defenders of the Core",0.14,0,0,0.01,NA,NA,NA
"8606","PS4",2014,"Fighting","Arc System Works",0.16,NA,NA,NA,"Guilty Gear Xrd: Sign",0.1,0,0.04,0.02,NA,NA,NA
"8607","Wii",2010,"Strategy","Take-Two Interactive",0.16,NA,NA,NA,"Sid Meier's Pirates!",0.13,0.02,0,0.01,NA,NA,NA
"8608","PSP",2006,"Strategy","Vivendi Games",0.16,58,"M","Radical Entertainment","Scarface: Money. Power. Respect.",0.15,0,0,0.01,12,3.1,15
"8609","XOne",2013,"Strategy","Activision",0.16,53,"E","Exient Entertainment","Angry Birds Star Wars",0.11,0.04,0,0.02,4,6.9,63
"8610","PS2",2004,"Adventure","Namco Bandai Games",0.16,NA,NA,NA,"Ghost in the Shell: Stand Alone Complex",0.08,0.06,0,0.02,NA,NA,NA
"8611","X360",2006,"Sports","Midway Games",0.16,69,"M","Midway","Blitz: The League",0.15,0,0,0.01,23,6.5,14
"8612","SNES",1992,"Sports","Banpresto",0.16,NA,NA,NA,"Battle Soccer: Field no Hasha",0,0,0.16,0,NA,NA,NA
"8613","PS4",2016,"Adventure","Sega",0.16,NA,NA,"Ryu ga Gotoku Studios","Yakuza Kiwami",0,0,0.16,0,NA,NA,NA
"8614","PC",2011,"Sports","Take-Two Interactive",0.16,86,"E","Visual Concepts","NBA 2K12",0.09,0.05,0,0.02,5,7.1,66
"8615","DS",2009,"Puzzle","Ubisoft",0.16,NA,NA,NA,"Take A Break's: Puzzle Master",0,0.15,0,0.01,NA,NA,NA
"8616","DS",2008,"Sports","Ubisoft",0.16,NA,"E","Lexis Numerique","Ener-G: Dance Squad",0.15,0,0,0.01,NA,NA,NA
"8617","Wii",2010,"Action","Crave Entertainment",0.16,NA,"E","High Voltage Software","Rudolph the Red-Nosed Reindeer",0.15,0,0,0.01,NA,NA,NA
"8618","PS2",2006,"Racing","Empire Interactive",0.16,73,"T","Bugbear","FlatOut 2",0.08,0.06,0,0.02,44,7.5,27
"8619","PSP",2006,"Fighting","Atari",0.16,64,"T","CyberConnect2","Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress",0.14,0,0,0.01,20,7.8,17
"8620","PSP",2010,"Platform","D3Publisher",0.16,NA,NA,NA,"Despicable Me: The Game",0.05,0.08,0,0.03,NA,NA,NA
"8621","PS",1995,"Sports","Electronic Arts",0.16,NA,NA,NA,"FIFA Soccer 96",0.09,0.06,0,0.01,NA,NA,NA
"8622","PS",2000,"Sports","Sony Computer Entertainment",0.16,55,"E","989 Sports","NCAA Final Four 2001",0.09,0.06,0,0.01,7,NA,NA
"8623","PS3",2009,"Simulation","Ubisoft",0.16,62,"T","Atari, Transmission Games, Atari SA","Heroes over Europe",0.12,0.02,0,0.02,34,7,16
"8624","PS",2000,"Sports","Konami Digital Entertainment",0.16,NA,NA,NA,"J-League Jikkyou Winning Eleven 2000",0,0,0.15,0.01,NA,NA,NA
"8625","SAT",1998,"Adventure","Imagineer",0.16,NA,NA,NA,"Eve: The Lost One",0,0,0.16,0,NA,NA,NA
"8626","Wii",2008,"Fighting","Midway Games",0.16,NA,NA,NA,"TNA iMPACT!",0.14,0.01,0,0.01,NA,NA,NA
"8627","GBA",2001,"Racing","Konami Digital Entertainment",0.16,78,"E","KCEK","Konami Krazy Racers",0.09,0.03,0.04,0,9,NA,NA
"8628","XOne",2016,"Shooter","Take-Two Interactive",0.16,84,"M","2K Games","BioShock The Collection",0.08,0.06,0,0.01,16,8.3,79
"8629","PS3",2009,"Action","Warner Bros. Interactive Entertainment",0.16,NA,NA,NA,"Watchmen: The End is Nigh - The Complete Experience",0.08,0.06,0,0.02,NA,NA,NA
"8630","DS",2010,"Misc","Telegames",0.16,NA,"E","Telegames","Solitaire Overload Plus",0.15,0,0,0.01,NA,NA,NA
"8631","SNES",1994,"Fighting","Capcom",0.16,NA,NA,NA,"Saturday Night Slam Masters",0,0,0.16,0,NA,NA,NA
"8632","GBA",2003,"Racing","Nintendo",0.16,77,"E","Suzak","F-Zero: GP Legend",0.11,0.04,0,0,31,8.5,18
"8633","PS",1999,"Racing","Square",0.16,NA,NA,NA,"Racing Lagoon",0,0,0.15,0.01,NA,NA,NA
"8634","Wii",NA,"Misc","Unknown",0.16,33,"T","Storm City Games","Vegas Party",0.15,0,0,0.01,6,NA,NA
"8635","GBA",2001,"Puzzle","Namco Bandai Games",0.16,62,"E","Namco","Mr. Driller 2",0,0,0.15,0,16,NA,NA
"8636","Wii",2008,"Platform","Namco Bandai Games",0.16,77,"E10+","Paon Corporation","Klonoa",0.1,0.02,0.03,0.01,37,8.6,39
"8637","PC",2011,"Shooter","Electronic Arts",0.16,82,"M","Epic Games, People Can Fly","Bulletstorm",0.07,0.07,0,0.02,34,7.7,768
"8638","PS4",2013,"Platform","System 3",0.16,38,"E10+","System 3","Putty Squad",0.06,0.07,0,0.03,8,2.9,52
"8639","PSP",2009,"Sports","Sega",0.16,NA,NA,NA,"J-League Pro Soccer Club o Tsukurou! 6: Pride of J",0,0,0.16,0,NA,NA,NA
"8640","DS",2008,"Action","Destineer",0.16,NA,"E","eGames","Burger Island",0.15,0,0,0.01,NA,NA,NA
"8641","XOne",2014,"Adventure","Telltale Games",0.16,NA,NA,NA,"The Walking Dead: Season One",0.08,0.06,0,0.01,NA,NA,NA
"8642","PSP",2006,"Strategy","Sony Online Entertainment",0.16,77,"T","Sony Online Entertainment, Mind Control Software","Field Commander",0.14,0,0,0.01,53,7.8,31
"8643","DS",2007,"Misc","505 Games",0.16,NA,NA,NA,"Left Brain Right Brain: Use Both Hands Train Both Sides",0.15,0,0,0.01,NA,NA,NA
"8644","DS",2010,"Action","PlayV",0.16,NA,NA,NA,"Around the World in 80 Days",0,0.14,0,0.02,NA,NA,NA
"8645","X360",2009,"Sports","Aspyr",0.16,NA,NA,NA,"BCFX: The Black College Football Xperience, The Doug Williams Edition",0.15,0,0,0.01,NA,NA,NA
"8646","DS",2006,"Fighting","Nintendo",0.16,74,"E10+","Noise Inc.","Custom Robo Arena",0.01,0.02,0.12,0,22,8.3,27
"8647","PS3",2014,"Role-Playing","Tecmo Koei",0.16,67,"T","Gust","Ar Nosurge: Ode to an Unborn Star",0.05,0.03,0.06,0.02,23,7.8,49
"8648","GBA",2005,"Action","THQ",0.16,NA,NA,NA,"Power Rangers Double Pack",0.11,0.04,0,0,NA,NA,NA
"8649","DS",2007,"Sports","Spike",0.16,NA,"E","Digital Kids","Imagine: Ice Champions",0.15,0,0,0.01,NA,NA,NA
"8650","PS",1998,"Misc","Syscom",0.16,NA,NA,NA,"Pachi-Slot Kanzen Kouryaku 3: Universal Koushiki Gaido Volume 3",0,0,0.15,0.01,NA,NA,NA
"8651","PS",1996,"Sports","Electronic Arts",0.16,NA,NA,NA,"FIFA Soccer 97",0.09,0.06,0,0.01,NA,NA,NA
